venue_id,venue_name,location,starting_price
,Sempusari Sport Center,5.00·  Kabupaten Jember,"Rp100,000"
,Twelve Tennis Court,4.93·  Kota Bekasi,"Rp100,000"
,Palm Court Serua,Kota Tangerang Selatan,"Rp100,000"
,ICON Clubhouse By DOOgether,Kabupaten Tangerang,"Rp100,000"
,Agape Padel & Tennis Court,4.88·  Kota Samarinda,"Rp100,000"
,Jambuluwuk Batu Sports Center,4.75·  Kota Batu,"Rp100,000"
,TekMIRA Sport,4.75·  Kota Bandung,"Rp100,000"
,"Dewi Sri Court, Kota Tegal",5.00·  Kota Tegal,"Rp100,000"
,GOR Tennis New Armada,4.67·  Kabupaten Magelang,"Rp100,000"
,MATCH POINT Tennis Court,5.00·  Kabupaten Sleman,"Rp100,000"
,Tennis EL Hotel Kartika Wijaya Batu,5.00·  Kota Batu,"Rp100,000"
,Tennis Indoor Ditajenad,5.00·  Kota Bandung,"Rp100,000"
,VIBORA By Grandeur,Kota Surabaya,"Rp100,000"
,Leoni Tenis,5.00·  Kota Jakarta Timur,"Rp100,000"
,Tenis Court Palem Semi Karawaci,4.40·  Kabupaten Tangerang,"Rp100,000"
,Boenglon Courts,5.00·  Kabupaten Kutai Timur,"Rp100,000"
,Club SOL,4.87·  Kabupaten Tangerang,"Rp105,000"
,Playcourt Padel Pondok Labu,4.77·  Kota Depok,"Rp109,000"
,The Sim Tennis Court Pondok Labu,4.71·  Kota Jakarta Selatan,"Rp110,000"
,Smashlab,4.85·  Kota Makassar,"Rp110,000"
,RajawaliSC,5.00·  Kota Malang,"Rp110,000"
,F2C Court,4.70·  Kabupaten Sleman,"Rp110,000"
,Sport Center Cibabat Park,3.76·  Kota Cimahi,"Rp115,000"
,Playcourt Tennis Depok,4.66·  Kota Depok,"Rp119,000"
,Sportive Hub,4.87·  Kota Cimahi,"Rp119,000"
,Patraland Tennis Court - Patra Kuningan,4.84·  Kota Jakarta Selatan,"Rp120,000"
,Ancol Tennis Warehouse,4.84·  Kota Jakarta Utara,"Rp120,000"
,Patraland Tennis Court - Dukuh Patra,4.85·  Kota Jakarta Selatan,"Rp120,000"
,Homeground Signature Pluit,4.89·  Kota Jakarta Barat,"Rp120,000"
,Inside Out Tennis Club At Lebak Lestari,4.73·  Kota Jakarta Selatan,"Rp120,000"
,Racquet Club Sentul,4.88·  Kabupaten Bogor,"Rp120,000"
88,Court 88,4.71·  Kota Jakarta Selatan,"Rp120,000"
,Bukit Pratama Tennis Court,4.88·  Kota Jakarta Selatan,"Rp125,000"
,Top Spin Arena,4.83·  Kota Makassar,"Rp125,000"
,Lapangan Tennis SMESCO,4.40·  Kabupaten Sidoarjo,"Rp125,000"
,GOR Pamularsih,4.73·  Kota Semarang,"Rp125,000"
,KSC Racquet Club,4.81·  Kota Jakarta Barat,"Rp125,000"
,CGE Arena,4.82·  Kota Depok,"Rp125,000"
,Jacinto Tennis Sport,4.77·  Kota Tangerang Selatan,"Rp125,000"
,Samator Tennis Court,4.40·  Kota Surabaya,"Rp125,000"
,Gading Mas Racquet Club,4.54·  Kota Jakarta Utara,"Rp125,000"
,Tenis Indoor Ajendam Bandung,Kota Bandung,"Rp125,000"
,Guntur Tennis Court,4.67·  Kota Jakarta Selatan,"Rp125,000"
,Lapangan Tennis Krida Court,4.80·  Kota Jakarta Timur,"Rp130,000"
,Avantgarde Tennis & Pickle Court Pluit,4.55·  Kota Jakarta Utara,"Rp130,000"
,HOLA! Padel & Tennis Club,4.91·  Kota Balikpapan,"Rp130,000"
,Solace Tennis Club By The Araya,4.95·  Kota Malang,"Rp130,000"
,Saint Joseph Sports Facilities,5.00·  Kota Surakarta,"Rp130,000"
,Wins Arena - Kuningan,4.66·  Kota Jakarta Selatan,"Rp134,824"
,Goat Arena Bandung,4.75·  Kota Bandung,"Rp135,000"
,Lapangan Pegasus By Courterra,4.96·  Kota Tangerang Selatan,"Rp135,000"
,Encanto Tennis,4.81·  Kota Depok,"Rp135,000"
,Playcourt Tennis Litbang Pondok Labu,4.58·  Kota Depok,"Rp139,000"
,Nara Tennis Court Outdoor,4.91·  Kota Jakarta Selatan,"Rp140,000"
,BBS KJ Secondary Sports Field,4.67·  Kota Jakarta Barat,"Rp142,000"
,Centre Court BSD,4.97·  Kabupaten Tangerang,"Rp145,000"
,Tennis Ampera,4.57·  Kota Jakarta Selatan,"Rp145,000"
,Courtehaus,4.87·  Kabupaten Sleman,"Rp145,000"
,Cibinong Tennis Center,4.85·  Kabupaten Bogor,"Rp150,000"
,Lapangan Tenis Girly,4.83·  Kota Depok,"Rp150,000"
,Olympus Prime Sports Center - Bandengan,4.90·  Kota Jakarta Utara,"Rp150,000"
,Sekawan Court Padel & Tenis,4.97·  Kabupaten Sleman,"Rp150,000"
,Batavia Sports Club,4.81·  Kota Jakarta Utara,"Rp150,000"
,Padel Playground,4.96·  Kabupaten Bogor,"Rp150,000"
,Tribuana Tennis Court,4.73·  Kota Jakarta Timur,"Rp150,000"
